article_id,expr_type,value,offset
139.txt,year,1999,335
139.txt,year,1998,1814
139.txt,part-relative-year/month/week,past 50 years,1399
887.txt,month,May,822
887.txt,month,January,1039
887.txt,month,May,2855
887.txt,year,2001,1663
887.txt,day-month,16 March,130
677.txt,dayofweek,Wednesday,1211
677.txt,year,2004,917
1485.txt,dayofweek,Monday,139
1485.txt,year,2006,1059
1485.txt,year,2006,1975
1485.txt,month-year,May 2005,1886
1485.txt,part-relative-year/month/week,for three years,215
1485.txt,part-relative-year/month/week,Angeles last year,737
1485.txt,part-relative-year/month/week,early next year,1111
1485.txt,part-relative-year/month/week,said last year,2135
111.txt,dayofweek,Monday,140
111.txt,year,2004,312
111.txt,year,2009,388
111.txt,year,1973,804
111.txt,month-year,July 2003,433
105.txt,month-year,May 2004,2921
1491.txt,month-year,November 2003,214
1491.txt,month-year,April 2003,1815
1491.txt,part-relative-year/month/week,the last year,659
663.txt,year,1964,175
663.txt,year,1971,231
663.txt,year,1969,977
663.txt,decade,the 1960s,776
1678.txt,year,1992,180
1678.txt,year,2006,1275
1678.txt,relative-year/month/week,Last year,1097
1678.txt,relative-year/month/week,This year,1192
1678.txt,part-relative-year/month/week,last 18 months,1058
1678.txt,part-relative-year/month/week,under six years,1903
1678.txt,part-relative-year/month/week,is several years,3095
1644.txt,year,2004,499
1644.txt,year,2001,1191
1644.txt,part-relative-year/month/week,next three years,71
1122.txt,dayofweek,Sunday,209
1122.txt,part-relative-year/month/week,had 20 years,1271
1136.txt,dayofweek,Saturday,2256
1136.txt,year,2007,1241
1136.txt,year,2007,2147
1136.txt,day-month,12 March,2265
1136.txt,part-relative-year/month/week,in two years,1668
1650.txt,year,2007,2677
1650.txt,month-year,September 2004,520
1650.txt,month-year,September 2005,2978
1650.txt,month-year,March 2006,2997
1650.txt,part-relative-year/month/week,the three months,500
1650.txt,part-relative-year/month/week,couple of years,1288
1650.txt,part-relative-year/month/week,TV for years,2911
449.txt,day-month,18 December,183
449.txt,part-relative-year/month/week,special next month,125
449.txt,part-relative-year/month/week,FM this year,491
449.txt,part-relative-year/month/week,after 17 years,504
449.txt,part-relative-year/month/week,on the year,680
449.txt,part-relative-year/month/week,a fantastic year,766
313.txt,relative-year/month/week,Last year,271
313.txt,part-relative-year/month/week,time this year,104
313.txt,part-relative-year/month/week,that this year,1103
1687.txt,year,2003,1636
1687.txt,relative-year/month/week,This year,1329
1687.txt,part-relative-year/month/week,of the year,1722
475.txt,year,2002,1548
475.txt,year,2012,1947
475.txt,year,2002,2014
475.txt,year,2014,2343
475.txt,part-relative-year/month/week,billion a year,998
461.txt,dayofweek,Monday,614
461.txt,year,1984,431
461.txt,part-relative-year/month/week,of the year,698
1693.txt,day-month,24 March,98
1693.txt,day-month,11 March,889
1693.txt,part-relative-year/month/week,for many years,578
1693.txt,part-relative-year/month/week,US last year,640
307.txt,dayofweek,Monday,81
307.txt,dayofweek,Sunday,312
307.txt,part-relative-year/month/week,last 12 months,1549
307.txt,part-relative-year/month/week,quit last year,2334
460.txt,month-year,September 11,719
460.txt,relative-year/month/week,Last year,291
460.txt,relative-year/month/week,Three years,642
460.txt,part-relative-year/month/week,safe this year,562
460.txt,part-relative-year/month/week,performance last year,1188
460.txt,part-relative-year/month/week,controversy last year,1799
460.txt,part-relative-year/month/week,oversee this year,1956
306.txt,dayofweek,Friday,79
306.txt,year,1990,694
306.txt,year,1945,827
306.txt,year,2010,4522
306.txt,relative-year/month/week,Four years,4528
306.txt,part-relative-year/month/week,at the weekend,295
306.txt,part-relative-year/month/week,peak this year,3186
306.txt,part-relative-year/month/week,a bad year,3244
306.txt,part-relative-year/month/week,in recent years,3289
1692.txt,part-relative-year/month/week,for many years,1811
312.txt,year,1776,279
312.txt,year,1723,864
312.txt,year,2002,1935
312.txt,month-year,June 2004,2387
312.txt,part-relative-year/month/week,January next year,2417
474.txt,dayofweek,Saturday,271
474.txt,dayofweek,Thursday,2021
474.txt,day-month,11 September,1900
448.txt,dayofweek,Sunday,609
448.txt,year,1999,592
448.txt,year,2001,646
448.txt,day-month,25 January,363
1137.txt,year,2001,1009
1137.txt,day-month,17 January,552
1137.txt,part-relative-year/month/week,since last year,1212
1651.txt,year,2025,36
1651.txt,year,2025,2183
1651.txt,part-relative-year/month/week,the last year,1705
1645.txt,part-relative-year/month/week,fade in months,461
1123.txt,month,August,887
1123.txt,month,November,960
1123.txt,year,2005,134
1123.txt,year,2002,173
1123.txt,day-month,17 April,275
1123.txt,month-year,October 2003,718
1123.txt,relative-year/month/week,Three years,492
1123.txt,part-relative-year/month/week,Marathon this year,83
1123.txt,part-relative-year/month/week,title 12 months,214
1123.txt,part-relative-year/month/week,London 12 months,617
1123.txt,part-relative-year/month/week,anniversary this year,1516
1679.txt,year,2010,27
1679.txt,year,2010,102
1679.txt,year,2010,388
1679.txt,year,2010,1269
1679.txt,year,2010,1374
1490.txt,year,1982,590
1490.txt,year,1994,862
1490.txt,decade,the 1980s,475
1490.txt,decade,the 1990s,803
1490.txt,part-of-decade,the late 1980s,914
1490.txt,part-relative-year/month/week,a few years,654
104.txt,dayofweek,Monday,1118
104.txt,part-relative-year/month/week,in recent months,1385
662.txt,dayofweek,Monday,250
662.txt,year,1954,1311
662.txt,part-relative-year/month/week,last 50 years,1061
676.txt,month,December,707
676.txt,year,2001,820
676.txt,decade,the 1960s,944
676.txt,relative-year/month/week,in weekend,209
676.txt,part-relative-year/month/week,its opening weekend,883
110.txt,year,2005,1578
110.txt,month-year,April 2008,1376
110.txt,part-relative-year/month/week,of this year,1474
1484.txt,year,2001,2571
1484.txt,year,2003,2680
1484.txt,year,1997,3899
1484.txt,year,2002,3908
1484.txt,day-month,15 April,1017
1484.txt,relative-year/month/week,a year,4013
1484.txt,part-relative-year/month/week,hundreds of years,1821
1484.txt,part-relative-year/month/week,exhibition last year,3378
138.txt,part-relative-year/month/week,next few months,163
886.txt,month,July,736
886.txt,dayofweek,Thursday,532
886.txt,dayofweek,Thursday,1997
886.txt,year,2005,619
886.txt,year,1984,1029
886.txt,year,2006,2156
892.txt,year,2005,226
892.txt,year,1997,332
892.txt,year,1997,2077
892.txt,part-relative-year/month/week,follows last year,1228
892.txt,part-relative-year/month/week,8bn a year,1445
892.txt,part-relative-year/month/week,1m a year,2738
1453.txt,year,2004,169
879.txt,part-relative-year/month/week,terminations last year,1375
879.txt,part-relative-year/month/week,who last year,2190
39.txt,year,2004,184
39.txt,year,2004,928
1335.txt,dayofweek,Saturday,1350
1335.txt,dayofweek,Sunday,3049
1335.txt,part-relative-year/month/week,over the weekend,285
1447.txt,dayofweek,Saturday,46
1447.txt,year,1600,69
1447.txt,year,1994,338
1447.txt,year,1999,440
1447.txt,year,2001,449
1447.txt,day-month,26 February,56
1447.txt,part-relative-year/month/week,couple of years,964
1447.txt,part-relative-year/month/week,far this year,1578
845.txt,dayofweek,Wednesday,179
845.txt,dayofweek,Wednesday,2894
845.txt,year,2006,281
1309.txt,dayofweek,Sunday,91
1309.txt,dayofweek,Saturday,449
851.txt,year,2001,2113
11.txt,month,October,306
11.txt,dayofweek,Sunday,530
11.txt,part-relative-year/month/week,least eighteen months,1610
689.txt,dayofweek,Friday,200
689.txt,dayofweek,Sunday,210
1282.txt,year,1998,218
1282.txt,year,2003,1052
1282.txt,part-relative-year/month/week,ended last year,150
1282.txt,part-relative-year/month/week,over a year,1268
716.txt,year,2001,521
716.txt,year,2002,662
716.txt,year,2006,1342
716.txt,month-year,May 19,1334
702.txt,year,1994,1475
702.txt,relative-year/month/week,Last month,1248
702.txt,part-relative-year/month/week,than 10 years,220
702.txt,part-relative-year/month/week,last 18 months,301
702.txt,part-relative-year/month/week,the last year,597
702.txt,part-relative-year/month/week,Mark 10 years,748
1296.txt,year,2000,694
1296.txt,part-relative-year/month/week,for two years,375
1296.txt,part-relative-year/month/week,within three years,627
1527.txt,month,July,381
1527.txt,year,2003,859
1527.txt,month-year,September 2004,390
1241.txt,year,2000,215
1241.txt,part-relative-year/month/week,came two years,533
1241.txt,part-relative-year/month/week,been waiting years,1088
1241.txt,part-relative-year/month/week,Aged 18 years,1247
1241.txt,part-relative-year/month/week,finish the year,1359
1241.txt,part-relative-year/month/week,us this weekend,2316
1255.txt,dayofweek,Friday,36
1255.txt,dayofweek,Friday,396
1255.txt,dayofweek,Friday,444
1255.txt,year,2000,57
1255.txt,day-month,25 February,44
919.txt,month,May,1256
919.txt,year,2005,426
1533.txt,month,March,2868
1533.txt,month,January,3857
1533.txt,year,2005,26
1533.txt,year,2005,90
1533.txt,year,2005,486
1533.txt,year,2005,653
1533.txt,year,2004,1179
1533.txt,year,2005,3447
1533.txt,part-relative-year/month/week,in previous years,851
1533.txt,part-relative-year/month/week,of last year,1099
931.txt,dayofweek,Monday,2937
931.txt,relative-year/month/week,This year,1008
931.txt,part-relative-year/month/week,election last year,248
1269.txt,part-relative-year/month/week,the coming months,122
1269.txt,part-relative-year/month/week,was last year,1855
925.txt,year,2015,192
925.txt,year,1960,228
925.txt,year,2005,618
925.txt,year,1970,949
925.txt,year,2013,2299
925.txt,year,2008,2432
925.txt,year,2008,2551
925.txt,part-relative-year/month/week,now the year,700
925.txt,part-relative-year/month/week,But 34 years,1037
925.txt,part-relative-year/month/week,25bn a year,2536
925.txt,part-relative-year/month/week,next three years,2616
514.txt,year,2004,574
514.txt,year,2000,1016
514.txt,year,2003,1201
514.txt,relative-year/month/week,this year,1271
514.txt,relative-year/month/week,This weekend,1282
514.txt,relative-year/month/week,last year,1382
514.txt,part-relative-year/month/week,at the weekend,169
514.txt,part-relative-year/month/week,of the year,717
514.txt,part-relative-year/month/week,over a weekend,1256
514.txt,part-relative-year/month/week,the same weekend,1365
1080.txt,dayofweek,Wednesday,174
1080.txt,dayofweek,Friday,278
1080.txt,year,2005,57
1080.txt,year,2004,1612
1080.txt,part-relative-year/month/week,to the year,534
1080.txt,part-relative-year/month/week,to the year,762
1080.txt,part-relative-year/month/week,Over the years,832
1080.txt,part-relative-year/month/week,of the year,1182
1080.txt,part-relative-year/month/week,of the year,1322
1080.txt,part-relative-year/month/week,over two months,2030
272.txt,month,Jan,3617
272.txt,year,1998,3349
266.txt,month,February,247
266.txt,month,January,328
266.txt,month,September,1027
266.txt,month,September,1217
266.txt,dayofweek,Thursday,495
266.txt,dayofweek,Thursday,618
266.txt,year,2002,680
266.txt,year,1995,1421
266.txt,year,1996,1491
266.txt,year,1955,1901
266.txt,year,1961,1937
266.txt,part-relative-year/month/week,in recent months,890
266.txt,part-relative-year/month/week,October last year,945
266.txt,part-relative-year/month/week,interim six month,1244
1094.txt,dayofweek,Saturday,51
500.txt,year,1985,1297
500.txt,decade,the 1980s,213
500.txt,part-relative-year/month/week,Monsoon next year,567
528.txt,dayofweek,Saturday,301
528.txt,day-month,11 December,283
528.txt,part-relative-year/month/week,final next month,1000
1731.txt,month,November,196
1731.txt,month,January,1422
1731.txt,month,December,1707
1731.txt,dayofweek,Sunday,1666
1731.txt,month-year,March 2005,1834
1057.txt,month,June,649
1057.txt,month,November,1311
1057.txt,dayofweek,Saturday,126
1057.txt,dayofweek,Saturday,1664
1057.txt,year,2000,209
1057.txt,year,1430,264
1057.txt,year,1815,281
1057.txt,year,1970,922
1057.txt,part-relative-year/month/week,end 34 years,721
1719.txt,part-relative-year/month/week,the past year,876
1719.txt,part-relative-year/month/week,a half months,1188
1719.txt,part-relative-year/month/week,last 18 months,1210
299.txt,month,January,223
299.txt,month,January,1695
299.txt,year,1997,324
299.txt,year,2005,1520
299.txt,month-year,April 2004,464
299.txt,part-relative-year/month/week,time of year,205
299.txt,part-relative-year/month/week,from a month,231
299.txt,part-relative-year/month/week,final three months,747
299.txt,part-relative-year/month/week,of last year,766
299.txt,part-relative-year/month/week,the early months,869
299.txt,part-relative-year/month/week,kept the year,894
1756.txt,month,August,400
1756.txt,year,2005,723
1756.txt,year,1994,815
1756.txt,year,2004,1203
1756.txt,year,2003,1528
1756.txt,year,2003,1779
1756.txt,part-relative-year/month/week,of the year,203
1756.txt,part-relative-year/month/week,later this month,643
1756.txt,part-relative-year/month/week,over four years,971
1756.txt,part-relative-year/month/week,of the year,1076
1756.txt,part-relative-year/month/week,of the year,1471
1756.txt,part-relative-year/month/week,last six years,1692
1030.txt,dayofweek,Monday,1247
1030.txt,part-relative-year/month/week,for future years,1138
1024.txt,month,April,1005
1024.txt,month,January,1635
1024.txt,dayofweek,Wednesday,78
1024.txt,year,1987,2226
1024.txt,year,1974,2284
1024.txt,year,1999,3611
1024.txt,year,2003,3800
1024.txt,day-month-year,11 September 2001,477
1024.txt,decade,the 80s,2981
1024.txt,part-relative-year/month/week,in the year,1541
1024.txt,part-relative-year/month/week,of this year,1643
1024.txt,part-relative-year/month/week,for seven years,2868
1742.txt,month,January,2110
1742.txt,year,2005,1636
1742.txt,year,2004,1659
1742.txt,year,2007,2335
1742.txt,part-relative-year/month/week,of the year,505
1742.txt,part-relative-year/month/week,the next year,1459
598.txt,part-relative-year/month/week,a second weekend,121
598.txt,part-relative-year/month/week,released this year,849
598.txt,part-relative-year/month/week,going this year,956
598.txt,part-relative-year/month/week,s Day weekend,1011
598.txt,part-relative-year/month/week,than last year,1037
1018.txt,month-year,April 2005,1718
1018.txt,part-relative-year/month/week,to 15 years,1566
201.txt,year,2004,200
201.txt,year,2004,644
201.txt,year,2002,1121
201.txt,year,2004,1196
201.txt,part-of-decade,the late 1990s,1058
201.txt,part-relative-year/month/week,of the year,884
201.txt,part-relative-year/month/week,next three years,1436
567.txt,month,July,311
567.txt,year,2002,472
567.txt,month-year,January 2004,403
567.txt,month-year,January 2005,1088
567.txt,relative-year/month/week,last month,373
567.txt,relative-year/month/week,on year,757
567.txt,part-relative-year/month/week,to last year,154
567.txt,part-relative-year/month/week,the first month,284
567.txt,part-relative-year/month/week,in a year,747
567.txt,part-relative-year/month/week,with last year,1110
573.txt,year,2004,257
573.txt,year,2004,469
573.txt,year,2004,1082
573.txt,year,2003,1099
573.txt,year,2004,1158
573.txt,part-relative-year/month/week,boost last year,69
573.txt,part-relative-year/month/week,Japan last year,551
573.txt,part-relative-year/month/week,total last year,949
573.txt,part-relative-year/month/week,the previous year,1172
573.txt,part-relative-year/month/week,for the year,1256
1781.txt,year,1995,138
1781.txt,year,1964,742
1781.txt,part-relative-year/month/week,all these years,3215
215.txt,month,October,1654
215.txt,dayofweek,Thursday,214
215.txt,dayofweek,Wednesday,560
215.txt,dayofweek,Wednesday,1061
215.txt,dayofweek,Thursday,1141
215.txt,dayofweek,Wednesday,1884
215.txt,year,2004,1595
215.txt,year,2004,2281
215.txt,day-month,10 September,400
215.txt,part-relative-year/month/week,than a year,608
215.txt,part-relative-year/month/week,next three months,2829
229.txt,month,November,62
229.txt,month,November,284
229.txt,month,November,1251
229.txt,month,December,1275
229.txt,dayofweek,Monday,953
229.txt,year,2005,1877
229.txt,part-relative-year/month/week,the three months,264
229.txt,part-relative-year/month/week,in 12 years,313
229.txt,part-relative-year/month/week,the sixth month,458
229.txt,part-relative-year/month/week,time of year,604
229.txt,part-relative-year/month/week,in a year,1630
229.txt,part-relative-year/month/week,confident this year,1760
229.txt,part-relative-year/month/week,coming 12 months,1969
1232.txt,dayofweek,Sunday,944
1232.txt,year,1994,178
1232.txt,year,2005,230
1554.txt,part-relative-year/month/week,software every month,1473
1226.txt,dayofweek,Tuesday,636
942.txt,month,May,2470
942.txt,year,2003,1518
942.txt,year,1993,1928
942.txt,part-relative-year/month/week,be five years,611
1568.txt,part-relative-year/month/week,of last year,81
1568.txt,part-relative-year/month/week,earlier this year,2285
956.txt,day-month,11 September,2168
765.txt,dayofweek,Friday,286
765.txt,year,2000,2644
765.txt,part-relative-year/month/week,for four years,840
1597.txt,month,January,431
1597.txt,month,January,506
1597.txt,month-year,August 2004,2022
1597.txt,decade,the 1980s,2225
1597.txt,part-relative-year/month/week,resolved this year,245
1597.txt,part-relative-year/month/week,download this year,2770
1597.txt,part-relative-year/month/week,downloaded every month,3099
1597.txt,part-relative-year/month/week,in 12 months,3442
1583.txt,year,2003,2889
1583.txt,year,2003,3011
1583.txt,part-relative-year/month/week,did five years,2037
1583.txt,part-relative-year/month/week,once a month,2872
1583.txt,part-relative-year/month/week,once a month,3078
771.txt,year,2004,111
771.txt,year,2004,765
771.txt,year,2003,1100
771.txt,day-month,11 September,616
771.txt,part-relative-year/month/week,Blair last year,798
771.txt,part-relative-year/month/week,past two years,1811
981.txt,dayofweek,Friday,1152
981.txt,dayofweek,Friday,1409
981.txt,part-relative-year/month/week,within a year,1652
995.txt,year,2010,3184
1434.txt,year,1995,347
1434.txt,year,1996,377
1434.txt,year,1997,629
1434.txt,part-relative-year/month/week,Championships next month,1171
1434.txt,part-relative-year/month/week,world this year,1307
1352.txt,month,August,1239
1352.txt,month,April,2876
1352.txt,relative-year/month/week,Next year,2808
1352.txt,part-relative-year/month/week,Some 65 years,32
1352.txt,part-relative-year/month/week,of the year,714
1352.txt,part-relative-year/month/week,the subsequent months,1311
76.txt,year,2000,325
76.txt,year,2010,426
76.txt,year,2010,1367
76.txt,year,2010,1479
836.txt,dayofweek,Monday,502
836.txt,dayofweek,Monday,1619
188.txt,year,2003,288
188.txt,relative-year/month/week,A year,492
188.txt,part-relative-year/month/week,after two years,876
1408.txt,month,January,194
1408.txt,month,February,297
1408.txt,year,2005,14
1408.txt,year,2005,59
1408.txt,part-relative-year/month/week,earlier that month,360
62.txt,month,May,495
62.txt,month,January,590
62.txt,month,January,961
62.txt,month,January,1276
62.txt,year,1997,203
62.txt,year,2005,1023
62.txt,year,2005,1596
62.txt,part-relative-year/month/week,in election year,17
62.txt,part-relative-year/month/week,next few months,79
62.txt,part-relative-year/month/week,in the year,415
62.txt,part-relative-year/month/week,optimism this year,773
62.txt,part-relative-year/month/week,last 8 months,1241
62.txt,part-relative-year/month/week,October last year,1298
822.txt,month,May,242
822.txt,dayofweek,Saturday,2193
822.txt,year,2008,1407
822.txt,part-relative-year/month/week,after seven years,1549
822.txt,part-relative-year/month/week,next five years,1914
89.txt,month,June,702
89.txt,month,June,1454
89.txt,dayofweek,Monday,106
89.txt,dayofweek,Friday,171
89.txt,dayofweek,Friday,352
89.txt,dayofweek,Friday,451
89.txt,dayofweek,Monday,496
89.txt,dayofweek,Friday,923
89.txt,dayofweek,Saturday,1533
89.txt,year,2007,394
89.txt,day-month,14 March,1019
89.txt,part-relative-year/month/week,over the weekend,934
89.txt,part-relative-year/month/week,the 12 months,1432
1385.txt,dayofweek,Thursday,104
611.txt,month,September,372
611.txt,day-month,24 January,494
177.txt,month,February,114
177.txt,day-month,30 September,574
177.txt,part-relative-year/month/week,in five years,163
177.txt,part-relative-year/month/week,the 12 months,557
177.txt,part-relative-year/month/week,the previous year,601
163.txt,month,March,705
163.txt,month,April,720
163.txt,month,August,1771
163.txt,dayofweek,Friday,815
605.txt,month,December,342
605.txt,month,October,1178
605.txt,year,1990,554
605.txt,year,1987,978
605.txt,part-of-decade,the early 1980s,900
605.txt,part-relative-year/month/week,of five years,859
605.txt,part-relative-year/month/week,later this year,1019
1391.txt,month,December,266
1391.txt,month,February,1251
1391.txt,dayofweek,Saturday,467
1391.txt,dayofweek,Sunday,1097
1391.txt,year,2003,1348
1391.txt,year,1996,1449
1391.txt,year,2001,1457
1391.txt,part-relative-year/month/week,for five years,1429
639.txt,month,February,310
639.txt,relative-year/month/week,Last year,928
639.txt,part-relative-year/month/week,in next year,140
639.txt,part-relative-year/month/week,earlier this year,625
639.txt,part-relative-year/month/week,Over recent years,783
1622.txt,part-relative-year/month/week,next few months,1120
1622.txt,part-relative-year/month/week,15 per month,1386
1622.txt,part-relative-year/month/week,than three years,2058
1622.txt,part-relative-year/month/week,play next month,2324
1622.txt,part-relative-year/month/week,99 per month,2504
1622.txt,part-relative-year/month/week,50 per year,2521
1144.txt,part-relative-year/month/week,or four years,738
1144.txt,part-relative-year/month/week,at the weekend,1169
1150.txt,dayofweek,Sunday,448
1150.txt,dayofweek,Friday,836
1150.txt,part-relative-year/month/week,over six years,745
1150.txt,part-relative-year/month/week,Stuttgart last weekend,1119
1150.txt,part-relative-year/month/week,world this year,1207
1636.txt,part-relative-year/month/week,early next year,2102
1178.txt,dayofweek,Sunday,568
1178.txt,dayofweek,Saturday,890
1178.txt,part-relative-year/month/week,a great weekend,1717
375.txt,month-year,October 2003,1345
375.txt,part-relative-year/month/week,December last year,534
1193.txt,year,2003,365
407.txt,dayofweek,Thursday,776
407.txt,dayofweek,Tuesday,1134
407.txt,year,2004,231
407.txt,part-relative-year/month/week,Late last year,596
361.txt,dayofweek,Tuesday,367
361.txt,dayofweek,Tuesday,741
361.txt,dayofweek,Tuesday,1943
361.txt,relative-year/month/week,a year,1443
361.txt,part-relative-year/month/week,off last year,557
361.txt,part-relative-year/month/week,from next year,1514
361.txt,part-relative-year/month/week,of five years,1750
349.txt,year,2000,276
349.txt,year,2003,285
349.txt,year,2003,505
348.txt,month,December,172
348.txt,month,December,356
348.txt,month,December,1008
348.txt,year,2006,502
348.txt,decade,the 1990s,611
348.txt,part-relative-year/month/week,the three months,336
348.txt,part-relative-year/month/week,make next year,580
406.txt,year,2002,685
406.txt,year,1997,1136
406.txt,year,2002,1145
406.txt,year,2001,1253
406.txt,part-relative-year/month/week,official two years,203
406.txt,part-relative-year/month/week,to three years,353
1192.txt,month,Jan,235
1192.txt,dayofweek,Thursday,103
360.txt,dayofweek,Sunday,872
360.txt,dayofweek,Friday,3119
360.txt,part-relative-year/month/week,Earlier this month,125
374.txt,month,April,430
374.txt,year,1999,1150
374.txt,year,2000,1218
374.txt,year,2008,1452
374.txt,part-relative-year/month/week,past five years,947
374.txt,part-relative-year/month/week,the following year,1256
374.txt,part-relative-year/month/week,past six years,1903
1186.txt,dayofweek,Sunday,58
1186.txt,dayofweek,Sunday,771
1186.txt,year,1500,79
1186.txt,year,1948,175
1186.txt,year,1987,1967
1186.txt,day-month,27 February,66
412.txt,month,September,1522
412.txt,year,1999,1688
412.txt,month-year,December 2004,1327
412.txt,part-relative-year/month/week,later this year,446
412.txt,part-relative-year/month/week,in 12 months,1096
412.txt,part-relative-year/month/week,reported last month,1175
412.txt,part-relative-year/month/week,of last year,1296
412.txt,part-relative-year/month/week,of this year,1933
1179.txt,year,2001,223
1179.txt,part-relative-year/month/week,his seven years,274
1179.txt,part-relative-year/month/week,for seven years,1374
1179.txt,part-relative-year/month/week,described his years,1629
1145.txt,month,February,494
1145.txt,month,August,1132
1145.txt,year,2000,1031
1145.txt,day-month,22 December,1879
1145.txt,part-relative-year/month/week,Games last year,684
1145.txt,part-relative-year/month/week,for two years,1515
638.txt,year,1958,176
638.txt,year,1999,442
638.txt,year,1986,692
638.txt,year,1988,795
638.txt,year,1990,947
638.txt,year,1991,1407
638.txt,part-relative-year/month/week,in recent years,373
162.txt,month,September,253
162.txt,month,October,526
162.txt,year,2004,757
162.txt,month-year,February 2001,597
162.txt,relative-year/month/week,Last month,612
162.txt,part-relative-year/month/week,the past year,205
1390.txt,dayofweek,Wednesday,79
1390.txt,dayofweek,Monday,636
1390.txt,dayofweek,Tuesday,684
604.txt,dayofweek,Saturday,420
604.txt,year,1963,673
604.txt,year,1969,757
604.txt,month-year,January 1934,463
604.txt,part-relative-year/month/week,for many years,335
604.txt,part-relative-year/month/week,spending several years,589
604.txt,part-relative-year/month/week,In recent years,1006
610.txt,month,November,527
610.txt,year,1990,979
610.txt,year,2001,1129
88.txt,month,October,263
88.txt,dayofweek,Friday,157
88.txt,relative-year/month/week,last month,204
88.txt,relative-year/month/week,this year,1487
88.txt,part-relative-year/month/week,of the year,551
88.txt,part-relative-year/month/week,or ten years,1072
176.txt,month,November,513
176.txt,dayofweek,Tuesday,138
176.txt,dayofweek,Tuesday,1793
176.txt,year,2006,1057
176.txt,year,2015,1065
176.txt,day-month,11 September,1433
176.txt,day-month-year,30 September 2004,918
176.txt,relative-year/month/week,this year,109
176.txt,part-relative-year/month/week,2005 fiscal year,381
176.txt,part-relative-year/month/week,In recent months,399
176.txt,part-relative-year/month/week,next two years,687
176.txt,part-relative-year/month/week,the 12 months,901
176.txt,part-relative-year/month/week,previous fiscal year,966
176.txt,part-relative-year/month/week,for the years,1038
176.txt,part-relative-year/month/week,within five years,1593
1409.txt,dayofweek,Saturday,107
1409.txt,dayofweek,Monday,1088
1409.txt,dayofweek,Tuesday,1601
1409.txt,year,1830,1589
1409.txt,year,1993,1696
1409.txt,day-month,26 February,1225
1409.txt,part-relative-year/month/week,least a month,600
823.txt,dayofweek,Tuesday,293
823.txt,year,1997,2498
823.txt,decade,the 1960s,1538
823.txt,part-relative-year/month/week,next few months,574
823.txt,part-relative-year/month/week,of recent years,647
823.txt,part-relative-year/month/week,for 40 years,997
823.txt,part-relative-year/month/week,for 200 years,1408
823.txt,part-relative-year/month/week,weeks and months,2134
63.txt,month-year,April 2004,2407
63.txt,relative-year/month/week,Last year,282
63.txt,part-relative-year/month/week,working last year,1542
63.txt,part-relative-year/month/week,shipping last year,2923
837.txt,decade,the 1980s,1559
837.txt,part-relative-year/month/week,000 a year,665
77.txt,dayofweek,Friday,646
77.txt,year,2004,412
77.txt,year,2003,955
77.txt,year,2004,1119
77.txt,relative-year/month/week,Full year,1109
77.txt,relative-year/month/week,Last year,1209
77.txt,part-relative-year/month/week,final three months,390
77.txt,part-relative-year/month/week,for this year,576
189.txt,month,January,77
189.txt,month,January,252
189.txt,month,November,653
189.txt,month,January,843
189.txt,month-year,September 2001,436
189.txt,month-year,December 2004,1005
189.txt,part-relative-year/month/week,in three years,160
189.txt,part-relative-year/month/week,in last year,784
1435.txt,year,2004,443
1435.txt,day-month,17 January,635
1353.txt,part-relative-year/month/week,the second year,239
1347.txt,dayofweek,Sunday,171
1347.txt,year,2002,293
1347.txt,part-relative-year/month/week,next three years,127
1347.txt,part-relative-year/month/week,next three years,400
1421.txt,dayofweek,Sunday,139
1421.txt,dayofweek,Saturday,300
1421.txt,dayofweek,Saturday,890
1421.txt,dayofweek,Sunday,1549
1421.txt,part-relative-year/month/week,for two years,1450
1421.txt,part-relative-year/month/week,Zealand last year,1614
1421.txt,part-relative-year/month/week,apart last year,2479
994.txt,dayofweek,Sunday,1418
994.txt,year,1987,605
994.txt,month-year,July 2003,1758
994.txt,part-relative-year/month/week,spent two years,309
980.txt,month,May,516
980.txt,month,May,608
980.txt,dayofweek,Wednesday,244
980.txt,year,1230,227
980.txt,year,1997,597
980.txt,day-month,16 March,12
980.txt,day-month,16 March,108
980.txt,relative-year/month/week,Next month,522
758.txt,dayofweek,Monday,502
758.txt,dayofweek,Friday,547
758.txt,dayofweek,Sunday,637
758.txt,part-relative-year/month/week,toll every month,1438
770.txt,month,Jan,663
770.txt,part-relative-year/month/week,nearly 200 years,1842
764.txt,year,1983,258
764.txt,year,1992,269
764.txt,year,1942,1139
764.txt,year,1975,1658
764.txt,year,1980,1771
764.txt,year,1983,1816
764.txt,year,1987,1989
764.txt,year,1992,2104
764.txt,year,1995,2166
764.txt,relative-year/month/week,Four years,2234
1596.txt,year,2004,133
1596.txt,year,2006,2247
1596.txt,day-month,14 October,1256
1596.txt,part-relative-year/month/week,of the year,766
957.txt,decade,the 1980s,1496
943.txt,dayofweek,Thursday,1606
943.txt,year,1997,2333
943.txt,part-relative-year/month/week,test this weekend,169
943.txt,part-relative-year/month/week,hunt this weekend,1634
943.txt,part-relative-year/month/week,a few years,2224
1569.txt,month,January,169
1569.txt,part-relative-year/month/week,the coming year,543
1541.txt,year,2004,124
1541.txt,year,2003,468
1541.txt,part-relative-year/month/week,about five years,1065
1541.txt,part-relative-year/month/week,a few years,2727
1233.txt,year,2003,1217
1233.txt,day-month,17 January,779
1233.txt,part-relative-year/month/week,than last year,366
